rDatetime,"round((hum),2)"
"2016-02-16 00:00:01",29.0
"2016-02-16 00:15:01",29.0
"2016-02-16 00:30:02",29.0
"2016-02-16 00:45:02",29.0
"2016-02-16 01:00:01",29.0
"2016-02-16 01:15:01",29.0
"2016-02-16 01:30:02",29.0
"2016-02-16 01:45:02",29.0
"2016-02-16 02:00:01",29.0
"2016-02-16 02:15:01",30.0
"2016-02-16 02:30:02",29.0
"2016-02-16 02:45:02",29.0
"2016-02-16 03:00:01",29.0
"2016-02-16 03:15:02",29.0
"2016-02-16 03:30:02",29.0
"2016-02-16 03:45:02",29.0
"2016-02-16 04:00:01",30.0
"2016-02-16 04:15:02",29.0
"2016-02-16 04:30:02",29.0
"2016-02-16 04:45:02",29.0
"2016-02-16 05:00:01",29.0
"2016-02-16 05:15:02",30.0
"2016-02-16 05:30:02",29.0
"2016-02-16 05:45:02",31.0
"2016-02-16 06:00:01",29.0
"2016-02-16 06:15:02",30.0
"2016-02-16 06:30:01",29.0
"2016-02-16 06:45:02",29.0
"2016-02-16 07:00:02",29.0
"2016-02-16 07:15:01",29.0
"2016-02-16 07:30:01",28.0
"2016-02-16 07:45:02",29.0
"2016-02-16 08:00:02",29.0
"2016-02-16 08:15:01",29.0
"2016-02-16 08:30:01",30.0
"2016-02-16 08:45:02",32.0
"2016-02-16 09:00:02",31.0
"2016-02-16 09:15:01",31.0
"2016-02-16 09:30:01",31.0
"2016-02-16 09:45:02",31.0
"2016-02-16 10:00:02",32.0
"2016-02-16 10:15:01",33.0
"2016-02-16 10:30:01",33.0
"2016-02-16 10:45:02",34.0
"2016-02-16 11:00:02",34.0
"2016-02-16 11:15:01",33.0
"2016-02-16 11:30:01",33.0
"2016-02-16 11:45:02",33.0
"2016-02-16 12:00:02",33.0
"2016-02-16 12:15:01",33.0
"2016-02-16 12:30:01",33.0
"2016-02-16 12:45:02",32.0
"2016-02-16 13:00:02",33.0
"2016-02-16 13:15:01",34.0
"2016-02-16 13:30:01",34.0
"2016-02-16 13:45:02",35.0
"2016-02-16 14:00:02",35.0
"2016-02-16 14:15:01",35.0
"2016-02-16 14:30:01",36.0
"2016-02-16 14:45:02",35.0
"2016-02-16 15:00:02",35.0
"2016-02-16 15:15:01",36.0
"2016-02-16 15:30:01",36.0
"2016-02-16 15:45:02",36.0
"2016-02-16 16:00:02",36.0
"2016-02-16 16:15:01",36.0
"2016-02-16 16:30:01",34.0
