rDatetime,"round((pres),2)"
"2016-02-16 00:00:01",1036.3
"2016-02-16 00:15:01",1036.24
"2016-02-16 00:30:02",1036.16
"2016-02-16 00:45:02",1036.05
"2016-02-16 01:00:01",1035.87
"2016-02-16 01:15:01",1035.57
"2016-02-16 01:30:02",1035.26
"2016-02-16 01:45:02",1035.5
"2016-02-16 02:00:01",1035.37
"2016-02-16 02:15:01",1034.96
"2016-02-16 02:30:02",1034.73
"2016-02-16 02:45:02",1034.26
"2016-02-16 03:00:01",1034.1
"2016-02-16 03:15:02",1033.93
"2016-02-16 03:30:02",1033.73
"2016-02-16 03:45:02",1033.32
"2016-02-16 04:00:01",1033.0
"2016-02-16 04:15:02",1032.58
"2016-02-16 04:30:02",1032.49
"2016-02-16 04:45:02",1032.11
"2016-02-16 05:00:01",1031.67
"2016-02-16 05:15:02",1031.55
"2016-02-16 05:30:02",1031.38
"2016-02-16 05:45:02",1031.12
"2016-02-16 06:00:01",1031.08
"2016-02-16 06:15:02",1030.45
"2016-02-16 06:30:01",1030.55
"2016-02-16 06:45:02",1029.85
"2016-02-16 07:00:02",1029.53
"2016-02-16 07:15:01",1029.98
"2016-02-16 07:30:01",1029.88
"2016-02-16 07:45:02",1029.34
"2016-02-16 08:00:02",1028.72
"2016-02-16 08:15:01",1028.55
"2016-02-16 08:30:01",1028.4
"2016-02-16 08:45:02",1028.22
"2016-02-16 09:00:02",1027.86
"2016-02-16 09:15:01",1028.08
"2016-02-16 09:30:01",1027.73
"2016-02-16 09:45:02",1027.19
"2016-02-16 10:00:02",1026.91
"2016-02-16 10:15:01",1026.29
"2016-02-16 10:30:01",1025.96
"2016-02-16 10:45:02",1026.42
"2016-02-16 11:00:02",1026.5
"2016-02-16 11:15:01",1026.3
"2016-02-16 11:30:01",1026.38
"2016-02-16 11:45:02",1026.27
"2016-02-16 12:00:02",1025.71
"2016-02-16 12:15:01",1025.53
"2016-02-16 12:30:01",1024.93
"2016-02-16 12:45:02",1025.15
"2016-02-16 13:00:02",1024.7
"2016-02-16 13:15:01",1024.52
"2016-02-16 13:30:01",1024.31
"2016-02-16 13:45:02",1023.91
"2016-02-16 14:00:02",1023.62
"2016-02-16 14:15:01",1023.34
"2016-02-16 14:30:01",1023.55
"2016-02-16 14:45:02",1023.35
"2016-02-16 15:00:02",1023.19
"2016-02-16 15:15:01",1023.52
"2016-02-16 15:30:01",1023.15
"2016-02-16 15:45:02",1023.03
"2016-02-16 16:00:02",1022.71
"2016-02-16 16:15:01",1022.52
"2016-02-16 16:30:01",1022.36
