rDatetime,"round((temp),2)"
"2016-02-16 00:00:01",27.18
"2016-02-16 00:15:01",27.11
"2016-02-16 00:30:02",26.8
"2016-02-16 00:45:02",26.89
"2016-02-16 01:00:01",26.62
"2016-02-16 01:15:01",26.6
"2016-02-16 01:30:02",26.38
"2016-02-16 01:45:02",26.4
"2016-02-16 02:00:01",26.22
"2016-02-16 02:15:01",26.16
"2016-02-16 02:30:02",26.04
"2016-02-16 02:45:02",26.02
"2016-02-16 03:00:01",25.89
"2016-02-16 03:15:02",25.95
"2016-02-16 03:30:02",25.89
"2016-02-16 03:45:02",25.8
"2016-02-16 04:00:01",25.75
"2016-02-16 04:15:02",25.71
"2016-02-16 04:30:02",25.67
"2016-02-16 04:45:02",25.36
"2016-02-16 05:00:01",25.4
"2016-02-16 05:15:02",25.4
"2016-02-16 05:30:02",25.54
"2016-02-16 05:45:02",25.56
"2016-02-16 06:00:01",25.51
"2016-02-16 06:15:02",25.62
"2016-02-16 06:30:01",26.53
"2016-02-16 06:45:02",27.04
"2016-02-16 07:00:02",27.06
"2016-02-16 07:15:01",27.15
"2016-02-16 07:30:01",27.13
"2016-02-16 07:45:02",26.93
"2016-02-16 08:00:02",26.75
"2016-02-16 08:15:01",26.64
"2016-02-16 08:30:01",26.4
"2016-02-16 08:45:02",26.64
"2016-02-16 09:00:02",26.35
"2016-02-16 09:15:01",26.4
"2016-02-16 09:30:01",26.16
"2016-02-16 09:45:02",26.27
"2016-02-16 10:00:02",26.22
"2016-02-16 10:15:01",26.42
"2016-02-16 10:30:01",26.51
"2016-02-16 10:45:02",26.51
"2016-02-16 11:00:02",26.51
"2016-02-16 11:15:01",26.22
"2016-02-16 11:30:01",26.24
"2016-02-16 11:45:02",26.47
"2016-02-16 12:00:02",26.33
"2016-02-16 12:15:01",26.33
"2016-02-16 12:30:01",26.2
"2016-02-16 12:45:02",26.22
"2016-02-16 13:00:02",26.24
"2016-02-16 13:15:01",26.49
"2016-02-16 13:30:01",26.36
"2016-02-16 13:45:02",26.46
"2016-02-16 14:00:02",26.42
"2016-02-16 14:15:01",26.53
"2016-02-16 14:30:01",26.36
"2016-02-16 14:45:02",26.51
"2016-02-16 15:00:02",26.31
"2016-02-16 15:15:01",26.58
"2016-02-16 15:30:01",26.53
"2016-02-16 15:45:02",26.58
"2016-02-16 16:00:02",26.29
"2016-02-16 16:15:01",26.51
"2016-02-16 16:30:01",26.02
